name	county	type	wikipedia_link
Anglesey Abbey, Gardens and Lode Mill	in_Cambridgeshire	Historic	/wiki/Anglesey_Abbey
Blacked-Out Britain War Museum	in_Cambridgeshire	Historic	
Bourn Windmll	in_Cambridgeshire	Industrial	/w/index.php?title=Bourn_Windmll&action=edit&redlink=1
Burghley House	in_Cambridgeshire	Historic	/wiki/Burghley_House
Burwell Museum	in_Cambridgeshire	Historic	/wiki/Burwell_Museum
Cambridge Museum of Technology	in_Cambridgeshire	Other	/wiki/Cambridge_Museum_of_Technology
Cambridge Science Centre	in_Cambridgeshire	Other	/wiki/Cambridge_Science_Centre
Cambridge University Library	in_Cambridgeshire	Other	/wiki/Cambridge_University_Library
Cambridge University Museum of Zoology	in_Cambridgeshire	Other	/wiki/Cambridge_University_Museum_of_Zoology
Centre for Computing History	in_Cambridgeshire	Other	/wiki/The_Centre_for_Computing_History
Chatteris Museum	in_Cambridgeshire	Local	
Cromwell Museum	in_Cambridgeshire	Local	/wiki/Cromwell_Museum
Farmland Museum and Denny Abbey	in_Cambridgeshire	Multiple	/wiki/Denny_Abbey
Elton Hall	in_Cambridgeshire	Historic	/wiki/Elton_Hall
Ely Museum	in_Cambridgeshire	Local	/w/index.php?title=Ely_Museum&action=edit&redlink=1
Fenland & West Norfolk Aviation Museum	in_Cambridgeshire	Transport	
Fitzwilliam Museum	in_Cambridgeshire	Arts	/wiki/Fitzwilliam_Museum
Flag Fen Bronze Age Centre and Archaeology Park	in_Cambridgeshire	Historic	/wiki/Flag_Fen
Hinchingbrooke House	in_Cambridgeshire	Historic	/wiki/Hinchingbrooke_House
Houghton Mill	in_Cambridgeshire	Industrial	/wiki/Houghton_Mill
Imperial War Museum Duxford	in_Cambridgeshire	Transport	/wiki/Imperial_War_Museum_Duxford
Kettle's Yard	in_Cambridgeshire	Arts	/wiki/Kettle%27s_Yard
Kimbolton Castle	in_Cambridgeshire	Historic	/wiki/Kimbolton_Castle
Lawrence Room	in_Cambridgeshire	Historic	/wiki/Girton_College,_Cambridge#Lawrence_Room
Longthorpe Tower	in_Cambridgeshire	Historic	/wiki/Longthorpe_Tower
The Manor (Cambridgeshire)	in_Cambridgeshire	Historic	/wiki/The_Manor_(Cambridgeshire)
March and District Museum	in_Cambridgeshire	Local	/wiki/March,_Cambridgeshire#March_Museum
Museum of Archaeology and Anthropology	in_Cambridgeshire	Multiple	/wiki/Museum_of_Archaeology_and_Anthropology,_University_of_Cambridge
Museum of Cambridge	in_Cambridgeshire	Local	/wiki/Museum_of_Cambridge
Museum of Classical Archaeology	in_Cambridgeshire	Arts	/wiki/Museum_of_Classical_Archaeology,_Cambridge
New Hall Art Collection	in_Cambridgeshire	Arts	/wiki/New_Hall_Art_Collection
Norris Museum, Cambridgeshire	in_Cambridgeshire	Local	/w/index.php?title=Norris_Museum,_Cambridgeshire&action=edit&redlink=1
Octavia Hill's Birthplace House	in_Cambridgeshire	Local	/w/index.php?title=Octavia_Hill%27s_Birthplace_House&action=edit&redlink=1
Peckover House & Garden	in_Cambridgeshire	Historic	/wiki/Peckover_House_%26_Garden
People's Portraits Exhibition	in_Cambridgeshire	Arts	/wiki/Girton_College,_Cambridge#People.27s_Portraits
Peterborough Museum	in_Cambridgeshire	Multiple	/wiki/Peterborough_Museum
Prickwillow Museum	in_Cambridgeshire	Other	/wiki/Prickwillow_Museum
Railworld	in_Cambridgeshire	Transport	/wiki/Railworld
Ramsey Rural Museum	in_Cambridgeshire	Historic	/w/index.php?title=Ramsey_Rural_Museum&action=edit&redlink=1
Rupert Brooke Museum	in_Cambridgeshire	Local	/w/index.php?title=Rupert_Brooke_Museum&action=edit&redlink=1
Ruskin Gallery	in_Cambridgeshire	Arts	/wiki/Ruskin_Gallery,_Cambridge
The Polar Museum	in_Cambridgeshire	Other	/wiki/Scott_Polar_Research_Institute#The_Polar_Museum
Sedgwick Museum of Earth Sciences	in_Cambridgeshire	Other	/wiki/Sedgwick_Museum_of_Earth_Sciences
St Neots Museum	in_Cambridgeshire	Local	/wiki/St_Neots_Museum
Stained Glass Museum	in_Cambridgeshire	Arts	/wiki/Ely_Cathedral#Stained_Glass_Museum
Stretham Old Engine	in_Cambridgeshire	Other	/wiki/Stretham_Old_Engine
Taggart Gallery and Museum	in_Cambridgeshire	Arts	
Thorney Heritage Museum	in_Cambridgeshire	Local	/w/index.php?title=Thorney_Heritage_Museum&action=edit&redlink=1
Tower Museum Bassingbourn	in_Cambridgeshire	Other	/wiki/RAF_Bassingbourn#Tower_Museum.2C_Bassingbourn
Waterbeach Military Heritage Museum	in_Cambridgeshire	Other	/wiki/RAF_Waterbeach#Museum
Whipple Museum of the History of Science	in_Cambridgeshire	Other	/wiki/Whipple_Museum_of_the_History_of_Science
Whittlesey Museum	in_Cambridgeshire	Local	/wiki/Whittlesey_Museum
Wimpole Hall	in_Cambridgeshire	Historic	/wiki/Wimpole_Hall
Wimpole Home Farm	in_Cambridgeshire	Local	/wiki/Wimpole_Home_Farm
Wisbech & Fenland Museum	in_Cambridgeshire	Multiple	/wiki/Wisbech_%26_Fenland_Museum
Wysing Arts Centre	in_Cambridgeshire	Arts	/wiki/Wysing_Arts_Centre
