name	county	type	wikipedia_link
Bassetlaw Museum	in_Nottinghamshire	Local	
Beth Shalom Holocaust Centre	in_Nottinghamshire	Historic	/wiki/Beth_Shalom_Holocaust_Centre
British Horological Institute	in_Nottinghamshire	Other	/wiki/British_Horological_Institute
Calverton Folk Museum	in_Nottinghamshire	Local	
Creswell Crags	in_Nottinghamshire	Historic	/wiki/Creswell_Crags
D.H. Lawrence Birthplace Museum	in_Nottinghamshire	Historic	/wiki/D.H._Lawrence_Birthplace_Museum
Dukes Wood Oil Museum	in_Nottinghamshire	Industrial	
Durban House Heritage Centre	in_Nottinghamshire	Multiple	/wiki/Durban_House_Heritage_Centre
Flintham Museum	in_Nottinghamshire	Historic	
Framework Knitters Museum	in_Nottinghamshire	Industrial	/w/index.php?title=Framework_Knitters_Museum&action=edit&redlink=1
Galleries of Justice Museum	in_Nottinghamshire	Local	/wiki/Galleries_of_Justice
Green's Windmill and Science Centre	in_Nottinghamshire	Multiple	/wiki/Green%27s_Mill,_Sneinton
Harley Gallery	in_Nottinghamshire	Arts	/wiki/Harley_Gallery_and_Foundation
Holme Pierrepont Hall	in_Nottinghamshire	Historic	/wiki/Holme_Pierrepont_Hall
Lakeside Arts Centre	in_Nottinghamshire	Arts	
Mansfield Museum	in_Nottinghamshire	Multiple	/wiki/Mansfield_Museum
Mr Straw's House	in_Nottinghamshire	Historic	/wiki/Mr_Straw%27s_House
Museum of Nottingham Life at Brewhouse Yard	in_Nottinghamshire	Historic	/w/index.php?title=Museum_of_Nottingham_Life_at_Brewhouse_Yard&action=edit&redlink=1
Museum of The Horse	in_Nottinghamshire	Historic	
National Civil War Centre - Newark Museum	in_Nottinghamshire	Historic	/w/index.php?title=National_Civil_War_Centre_-_Newark_Museum&action=edit&redlink=1
National Videogame Arcade	in_Nottinghamshire	Other	/wiki/National_Videogame_Arcade
New Art Exchange	in_Nottinghamshire	Arts	/wiki/New_Art_Exchange
Newark Air Museum	in_Nottinghamshire	Transport	/wiki/Newark_Air_Museum
Newark Castle & Gilstrap Heritage Centre	in_Nottinghamshire	Historic	/wiki/Newark_Castle,_Nottinghamshire
Newark Town Hall Museum & Art Gallery	in_Nottinghamshire	Arts	
Newstead Abbey Historic House & Gardens	in_Nottinghamshire	Historic	/wiki/Newstead_Abbey
Nottingham Castle Museum	in_Nottinghamshire	Multiple	/wiki/Nottingham_Castle#Nottingham_Castle_Museum
Nottingham Contemporary	in_Nottinghamshire	Arts	/wiki/Nottingham_Contemporary
Nottingham Industrial Museum	in_Nottinghamshire	Industrial	/wiki/Nottingham_Industrial_Museum
Nottingham Transport Heritage Centre	in_Nottinghamshire	Transport	/wiki/Nottingham_Transport_Heritage_Centre
Papplewick Pumping Station	in_Nottinghamshire	Other	/wiki/Papplewick_Pumping_Station
Ruddington Village Museum	in_Nottinghamshire	Historic	
Tuxford Windmill	in_Nottinghamshire	Industrial	/w/index.php?title=Tuxford_Windmill&action=edit&redlink=1
Walks of Life	in_Nottinghamshire	Local	
William Booth Birthplace Museum	in_Nottinghamshire	Local	
Wollaton Village Dovecote Museum	in_Nottinghamshire	Local	
Wollaton Hall & Deer Park	in_Nottinghamshire	Multiple	/wiki/Wollaton_Hall
The Workhouse	in_Nottinghamshire	Historic	/wiki/The_Workhouse,_Southwell
