name	county	type	wikipedia_link
100th Bomb Group Memorial Museum	in_Norfolk	Other	/wiki/100th_Bomb_Group_Memorial_Museum
389th Memorial Exhibition Museum	in_Norfolk	Other	
Ancient House, Thetford	in_Norfolk	Local	/w/index.php?title=Ancient_House,_Thetford&action=edit&redlink=1
Barton House Railway	in_Norfolk	Transport	/wiki/Barton_House_Railway
Bishop Bonner's Cottage Museum	in_Norfolk	Local	
Blickling Hall, Gardens and Park	in_Norfolk	Historic	/wiki/Blickling_Hall
Blitz and Pieces	in_Norfolk	Other	/wiki/Blitz_and_Pieces
Bressingham Steam & Gardens	in_Norfolk	Other	/wiki/Bressingham_Steam_and_Gardens
Burston Strike School	in_Norfolk	Other	/wiki/Burston_Strike_School
Caister Castle Motor Museum	in_Norfolk	Transport	/wiki/Caister_Castle
Castle Acre Priory	in_Norfolk	Other	/wiki/Castle_Acre_Priory
Charles Burrell Museum	in_Norfolk	Industrial	/wiki/Charles_Burrell_Museum
City of Norwich Aviation Museum	in_Norfolk	Transport	/wiki/City_of_Norwich_Aviation_Museum
Clifton House, King's Lynn	in_Norfolk	Historic	/wiki/List_of_buildings_in_King%27s_Lynn#Clifton_House
Collectors World	in_Norfolk	Multiple	
Colman's Mustard Shop and Museum	in_Norfolk	Other	/w/index.php?title=Colman%27s_Mustard_Shop_and_Museum&action=edit&redlink=1
County School Station	in_Norfolk	Transport	/wiki/County_School_railway_station
Cromer Museum	in_Norfolk	Local	
Custom House, King's Lynn	in_Norfolk	Transport	/wiki/Custom_House,_King%27s_Lynn
Dad's Army Museum	in_Norfolk	Arts	/wiki/Dad%27s_Army_Museum
Denver Windmill	in_Norfolk	Industrial	/wiki/Denver_Windmill
Diss Museum	in_Norfolk	Local	/w/index.php?title=Diss_Museum&action=edit&redlink=1
Elizabethan House Museum	in_Norfolk	Historic	/w/index.php?title=Elizabethan_House_Museum&action=edit&redlink=1
Fakenham Museum of Gas and Local History	in_Norfolk	Industrial	
Felbrigg Hall	in_Norfolk	Historic	/wiki/Felbrigg_Hall
Fishermen's Heritage Centre	in_Norfolk	Transport	
