name	county	type	wikipedia_link
Ankers House Museum	in_County_Durham	Other	/wiki/St_Mary_and_St_Cuthbert,_Chester-le-Street#Ankers_House_Museum
Auckland Castle	in_County_Durham	Historic	/wiki/Auckland_Castle
Beamish Museum	in_County_Durham	Other	/wiki/Beamish_Museum
Bishop Auckland Town Hall	in_County_Durham	Arts	/wiki/Bishop_Auckland_Town_Hall
Bowes Museum	in_County_Durham	Arts	/wiki/Bowes_Museum
DLI Museum	in_County_Durham	Other	/wiki/DLI_Museum
Durham Art Gallery	in_County_Durham	Arts	/w/index.php?title=Durham_Art_Gallery&action=edit&redlink=1
Durham Castle	in_County_Durham	Historic	/wiki/Durham_Castle
Durham Cathedral	in_County_Durham	Other	/wiki/Durham_Cathedral
Durham Mining Museum	in_County_Durham	Industrial	/w/index.php?title=Durham_Mining_Museum&action=edit&redlink=1
Durham Museum and Heritage Centre	in_County_Durham	Local	/wiki/Durham_Museum_and_Heritage_Centre
Hartlepool Art Gallery	in_County_Durham	Arts	/wiki/Hartlepool_Art_Gallery
Hartlepool's Maritime Experience	in_County_Durham	Transport	/wiki/Hartlepool%27s_Maritime_Experience
Head of Steam	in_County_Durham	Transport	/wiki/Head_of_Steam
Heugh Battery Museum	in_County_Durham	Other	/wiki/Heugh_Battery
HMS Trincomalee	in_County_Durham	Transport	/wiki/HMS_Trincomalee
Hopetown Carriage Works	in_County_Durham	Transport	/wiki/Hopetown_Carriage_Works
Killhope	in_County_Durham	Industrial	/wiki/North_of_England_Lead_Mining_Museum
Museum of Archaeology	in_County_Durham	Historic	/wiki/Durham_University_Museum_of_Archaeology
Museum of Hartlepool	in_County_Durham	Local	/wiki/Museum_of_Hartlepool
National Railway Museum Shildon	in_County_Durham	Transport	/wiki/National_Railway_Museum_Shildon
Oriental Museum	in_County_Durham	Other	/wiki/Durham_University_Oriental_Museum
Palace Green Library	in_County_Durham	Other	/w/index.php?title=Palace_Green_Library&action=edit&redlink=1
Preston Park Museum & Grounds	in_County_Durham	Local	/wiki/Preston_Hall,_Preston-on-Tees
Raby Castle	in_County_Durham	Historic	/wiki/Raby_Castle
Rokeby Park	in_County_Durham	Historic	/wiki/Rokeby_Park
Spennymoor Town Hall Art Gallery	in_County_Durham	Arts	
Tanfield Railway	in_County_Durham	Transport	/wiki/Tanfield_Railway
Weardale Museum	in_County_Durham	Local	/w/index.php?title=Weardale_Museum&action=edit&redlink=1
