name	county	type	wikipedia_link
Bakewell Old House Museum	in_Derbyshire	Other	/wiki/Bakewell_Old_House_Museum
Barrow Hill Roundhouse & Railway Centre	in_Derbyshire	Other	/wiki/Barrow_Hill_Engine_Shed
Belper Heritage Centre	in_Derbyshire	Other	
Bolsover Castle	in_Derbyshire	Other	/wiki/Bolsover_Castle
Buxton Museum and Art Gallery	in_Derbyshire	Local	/wiki/Buxton_Museum_and_Art_Gallery
Calke Abbey	in_Derbyshire	Other	/wiki/Calke_Abbey
Carnfield Hall	in_Derbyshire	Other	/wiki/Carnfield_Hall
Casterne Hall	in_Derbyshire	Other	/wiki/Castern_Hall
Chatsworth House	in_Derbyshire	Other	/wiki/Chatsworth_House
Chesterfield Museum and Art Gallery	in_Derbyshire	Local	/wiki/Chesterfield_Museum_and_Art_Gallery
Crich Tramway Village	in_Derbyshire	Other	/wiki/Crich_Tramway_Village
Cromford Mill	in_Derbyshire	Other	/wiki/Cromford_Mill
David Mellor Visitor Centre	in_Derbyshire	Other	/w/index.php?title=David_Mellor_Visitor_Centre&action=edit&redlink=1
Denby Pottery Visitor's Centre	in_Derbyshire	Other	
Derby Gaol	in_Derbyshire	Other	/wiki/Derby_Gaol
Derby Museum and Art Gallery	in_Derbyshire	Other	/wiki/Derby_Museum_and_Art_Gallery
Derby Silk Mill	in_Derbyshire	Other	/wiki/Derby_Silk_Mill
Derwent Valley Mills	in_Derbyshire	Other	/wiki/Derwent_Valley_Mills
Erewash Museum	in_Derbyshire	Local	/wiki/Erewash_Museum
Eyam Hall	in_Derbyshire	Other	/wiki/Eyam_Hall
Eyam Museum	in_Derbyshire	Local	/wiki/Eyam_Museum
Haddon Hall	in_Derbyshire	Other	/wiki/Haddon_Hall
Hardwick Hall	in_Derbyshire	Other	/wiki/Hardwick_Hall
Heage Windmill	in_Derbyshire	Other	/w/index.php?title=Heage_Windmill&action=edit&redlink=1
High Peak Junction	in_Derbyshire	Other	/wiki/High_Peak_Junction
Hope House Costume Museum	in_Derbyshire	Other	/w/index.php?title=Hope_House_Costume_Museum&action=edit&redlink=1
John King Workshop Museum	in_Derbyshire	Other	
Kedleston Hall	in_Derbyshire	Other	/wiki/Kedleston_Hall
Leawood Pump House	in_Derbyshire	Other	/wiki/Leawood_Pump_House
Life in a Lens Museum of Photography & Old Times	in_Derbyshire	Historic	/wiki/Life_in_a_Lens_Museum_of_Photography_%26_Old_Times
Little Chester Heritage Centre	in_Derbyshire	Other	
M & C Collection of Historic Motorcycles	in_Derbyshire	Other	
Melbourne Hall	in_Derbyshire	Other	/wiki/Melbourne_Hall
Middleton Top Engine House	in_Derbyshire	Other	/w/index.php?title=Middleton_Top_Engine_House&action=edit&redlink=1
Midland Railway – Butterley	in_Derbyshire	Other	/wiki/Midland_Railway_%E2%80%93_Butterley
Moorland Centre	in_Derbyshire	Other	
National Stone Centre	in_Derbyshire	Other	/wiki/National_Stone_Centre
National Tramway Museum	in_Derbyshire	Other	/wiki/National_Tramway_Museum
National Trust Museum of Childhood	in_Derbyshire	Other	/wiki/National_Trust_Museum_of_Childhood
New Mills Heritage and Information Centre	in_Derbyshire	Other	
Old Manor	in_Derbyshire	Other	/wiki/Norbury_Manor
Peak District Lead Mining Museum	in_Derbyshire	Other	/wiki/Peak_District_Lead_Mining_Museum
Peak District National Park Visitor Centre - Bakewell	in_Derbyshire	Other	
Peak District National Park Visitor Centre - Castleton	in_Derbyshire	Other	
Peak District National Park Visitor Centre - Upper Derwent	in_Derbyshire	Other	
Pickford's House Museum	in_Derbyshire	Other	/wiki/Pickford%27s_House_Museum
Red House Stables Carriage Museum	in_Derbyshire	Other	/w/index.php?title=Red_House_Stables_Carriage_Museum&action=edit&redlink=1
Renishaw Hall	in_Derbyshire	Other	/wiki/Renishaw_Hall
Revolution House	in_Derbyshire	Other	/wiki/Revolution_House
Royal Crown Derby Visitor Centre	in_Derbyshire	Other	/wiki/Royal_Crown_Derby
Shardlow Heritage Centre	in_Derbyshire	Other	
Sharpe's Pottery Museum	in_Derbyshire	Other	/w/index.php?title=Sharpe%27s_Pottery_Museum&action=edit&redlink=1
Sir Richard Arkwright’s Masson Mills	in_Derbyshire	Other	/wiki/Masson_Mill
Stainsby Mill	in_Derbyshire	Other	/wiki/Stainsby_Mill
Strutt's North Mill, Belper	in_Derbyshire	Other	/wiki/Belper_North_Mill
Sudbury Hall	in_Derbyshire	Other	/wiki/Sudbury_Hall
Tissington Hall	in_Derbyshire	Other	/wiki/Tissington_Hall
Wirksworth Heritage Centre	in_Derbyshire	Other	
